"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","condition_name","participant","rt","stimulus","response","phase","trial_number","species_key","human_n","species_n","optionA_label","optionB_label","swap","left_is","right_is","left_label","middle_label","right_label","choice_options","comparison_label","chosen_option","choice_kind","saved_human","saved_animal","human_chosen","task","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","2734","pr4tmg75fll","pr4tmg75fll","You","cheetah","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","5127","pr4tmg75fll","pr4tmg75fll","You","cheetah","2391","Welcome to the experiment. Press any key to begin."," ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","2","2.0.0","7721","pr4tmg75fll","pr4tmg75fll","You","cheetah","2586","","{""participant_id"":""cheetah""}","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","2.0.0","11267","pr4tmg75fll","pr4tmg75fll","You","cheetah","2540","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","23133","pr4tmg75fll","pr4tmg75fll","You","cheetah","11863","<p>You will be asked you some moral questions in which you have to make
                choices. These questions can be hard to decide. There is no right or wrong
                answer - choose whatever you personally think is right. Please
                carefully consider each question.</p>
                <p>Press any key to begin.</p>"," ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","52596","pr4tmg75fll","pr4tmg75fll","You","cheetah","29461","
      <p>
        Imagine a situation involving two boats, one with humans and one with animals. Both of these boats are sinking.
        Unfortunately, the species on either of these boats are unable to swim. However, You can
        choose one boat to save. Once You chooses a boat, the people or animals on that boat will
        be safe, but the people or animals on the other boat will not survive.
      </p>

      <div style=""display: flex; justify-content: center; align-items: center; gap: 40px; margin-top: 30px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
        <img src=""stimuli/cant decide.png"" style=""width:150px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
      </div>
    "," ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","2.0.0","58004","pr4tmg75fll","pr4tmg75fll","You","cheetah","5404","On one boat there is <b>10 people</b> and the other boat there is <b>100 pigeons</b>.
                 Will <b>You</b> save...","0","main_choice","0","pigeon","10","100","10 people","100 pigeons","false","A","B","10 people","Can't decide","100 pigeons","[""10 people"",""Can't decide"",""100 pigeons""]","10 people vs 100 pigeons","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","7","2.0.0","58520","pr4tmg75fll","pr4tmg75fll","You","cheetah","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","8","2.0.0","61116","pr4tmg75fll","pr4tmg75fll","You","cheetah","2593","On one boat there is <b>100 people</b> and the other boat there is <b>10 dogs</b>.
                 Will <b>You</b> save...","2","main_choice","1","dog","100","10","100 people","10 dogs","true","B","A","10 dogs","Can't decide","100 people","[""10 dogs"",""Can't decide"",""100 people""]","100 people vs 10 dogs","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","9","2.0.0","61621","pr4tmg75fll","pr4tmg75fll","You","cheetah","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
