"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","condition_name","rt","stimulus","response","phase","trial_number","species_key","human_n","species_n","optionA_label","optionB_label","swap","left_is","right_is","left_label","middle_label","right_label","choice_options","comparison_label","chosen_option","choice_kind","saved_human","saved_animal","human_chosen","task","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","2431","p6nkoq3tkwd","p6nkoq3tkwd","You","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3940","p6nkoq3tkwd","p6nkoq3tkwd","You","1506","Welcome to the experiment. Press any key to begin."," ","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","2.0.0","6637","p6nkoq3tkwd","p6nkoq3tkwd","You","1693","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","2.0.0","10116","p6nkoq3tkwd","p6nkoq3tkwd","You","3476","<p>You will be asked you some moral questions in which you have to make
                choices. These questions can be hard to decide. There is no right or wrong
                answer - choose whatever you personally think is right. Please
                carefully consider each question.</p>
                <p>Press any key to begin.</p>"," ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","19964","p6nkoq3tkwd","p6nkoq3tkwd","You","9845","
      <p>
        Imagine a situation involving two boats, one with humans and one with animals. Both of these boats are sinking.
        Unfortunately, the species on either of these boats are unable to swim. However, You can
        choose one boat to save. Once You chooses a boat, the people or animals on that boat will
        be safe, but the people or animals on the other boat will not survive.
      </p>

      <div style=""display: flex; justify-content: center; align-items: center; gap: 40px; margin-top: 30px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
        <img src=""stimuli/cant decide.png"" style=""width:150px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
      </div>
    "," ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","2.0.0","30591","p6nkoq3tkwd","p6nkoq3tkwd","You","10624","On one boat there is <b>1 person</b> and the other boat there is <b>100 dogs</b>.
                 Will <b>You</b> save...","2","main_choice","0","dog","1","100","1 person","100 dogs","false","A","B","1 person","Can't decide","100 dogs","[""1 person"",""Can't decide"",""100 dogs""]","1 person vs 100 dogs","100 dogs","animal","0","1","0","",""
"","","","","","html-keyboard-response","6","2.0.0","31095","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","7","2.0.0","35139","p6nkoq3tkwd","p6nkoq3tkwd","You","4041","On one boat there is <b>100 people</b> and the other boat there is <b>1 dog</b>.
                 Will <b>You</b> save...","0","main_choice","1","dog","100","1","100 people","1 dog","false","A","B","100 people","Can't decide","1 dog","[""100 people"",""Can't decide"",""1 dog""]","100 people vs 1 dog","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","8","2.0.0","35642","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","9","2.0.0","43188","p6nkoq3tkwd","p6nkoq3tkwd","You","7543","On one boat there is <b>1 person</b> and the other boat there is <b>1 bunny</b>.
                 Will <b>You</b> save...","2","main_choice","2","bunny","1","1","1 person","1 bunny","true","B","A","1 bunny","Can't decide","1 person","[""1 bunny"",""Can't decide"",""1 person""]","1 person vs 1 bunny","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","10","2.0.0","43691","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","11","2.0.0","47593","p6nkoq3tkwd","p6nkoq3tkwd","You","3898","On one boat there is <b>1 person</b> and the other boat there is <b>1 cat</b>.
                 Will <b>You</b> save...","2","main_choice","3","cat","1","1","1 person","1 cat","true","B","A","1 cat","Can't decide","1 person","[""1 cat"",""Can't decide"",""1 person""]","1 person vs 1 cat","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","12","2.0.0","48096","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","13","2.0.0","50341","p6nkoq3tkwd","p6nkoq3tkwd","You","2242","On one boat there is <b>100 people</b> and the other boat there is <b>1 cat</b>.
                 Will <b>You</b> save...","0","main_choice","4","cat","100","1","100 people","1 cat","false","A","B","100 people","Can't decide","1 cat","[""100 people"",""Can't decide"",""1 cat""]","100 people vs 1 cat","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","14","2.0.0","50843","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","15","2.0.0","53819","p6nkoq3tkwd","p6nkoq3tkwd","You","2973","On one boat there is <b>10 people</b> and the other boat there is <b>1 pig</b>.
                 Will <b>You</b> save...","0","main_choice","5","pig","10","1","10 people","1 pig","false","A","B","10 people","Can't decide","1 pig","[""10 people"",""Can't decide"",""1 pig""]","10 people vs 1 pig","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","16","2.0.0","54322","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","17","2.0.0","56319","p6nkoq3tkwd","p6nkoq3tkwd","You","1994","On one boat there is <b>1 person</b> and the other boat there is <b>100 bunnies</b>.
                 Will <b>You</b> save...","0","main_choice","6","bunny","1","100","1 person","100 bunnies","true","B","A","100 bunnies","Can't decide","1 person","[""100 bunnies"",""Can't decide"",""1 person""]","1 person vs 100 bunnies","100 bunnies","animal","0","1","0","",""
"","","","","","html-keyboard-response","18","2.0.0","56822","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","19","2.0.0","60313","p6nkoq3tkwd","p6nkoq3tkwd","You","3489","On one boat there is <b>1 person</b> and the other boat there is <b>10 pigs</b>.
                 Will <b>You</b> save...","2","main_choice","7","pig","1","10","1 person","10 pigs","false","A","B","1 person","Can't decide","10 pigs","[""1 person"",""Can't decide"",""10 pigs""]","1 person vs 10 pigs","10 pigs","animal","0","1","0","",""
"","","","","","html-keyboard-response","20","2.0.0","60816","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","21","2.0.0","63726","p6nkoq3tkwd","p6nkoq3tkwd","You","2907","On one boat there is <b>1 person</b> and the other boat there is <b>1 pigeon</b>.
                 Will <b>You</b> save...","0","main_choice","8","pigeon","1","1","1 person","1 pigeon","false","A","B","1 person","Can't decide","1 pigeon","[""1 person"",""Can't decide"",""1 pigeon""]","1 person vs 1 pigeon","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","22","2.0.0","64229","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","23","2.0.0","91148","p6nkoq3tkwd","p6nkoq3tkwd","You","26916","On one boat there is <b>10 people</b> and the other boat there is <b>100 pigs</b>.
                 Will <b>You</b> save...","0","main_choice","9","pig","10","100","10 people","100 pigs","false","A","B","10 people","Can't decide","100 pigs","[""10 people"",""Can't decide"",""100 pigs""]","10 people vs 100 pigs","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","24","2.0.0","91650","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","25","2.0.0","93479","p6nkoq3tkwd","p6nkoq3tkwd","You","1826","On one boat there is <b>1 person</b> and the other boat there is <b>10 cats</b>.
                 Will <b>You</b> save...","0","main_choice","10","cat","1","10","1 person","10 cats","true","B","A","10 cats","Can't decide","1 person","[""10 cats"",""Can't decide"",""1 person""]","1 person vs 10 cats","10 cats","animal","0","1","0","",""
"","","","","","html-keyboard-response","26","2.0.0","93982","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","27","2.0.0","95814","p6nkoq3tkwd","p6nkoq3tkwd","You","1829","On one boat there is <b>100 people</b> and the other boat there is <b>1 clam</b>.
                 Will <b>You</b> save...","0","main_choice","11","clam","100","1","100 people","1 clam","false","A","B","100 people","Can't decide","1 clam","[""100 people"",""Can't decide"",""1 clam""]","100 people vs 1 clam","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","28","2.0.0","96316","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","29","2.0.0","124401","p6nkoq3tkwd","p6nkoq3tkwd","You","28083","On one boat there is <b>1 person</b> and the other boat there is <b>10 bunnies</b>.
                 Will <b>You</b> save...","2","main_choice","12","bunny","1","10","1 person","10 bunnies","false","A","B","1 person","Can't decide","10 bunnies","[""1 person"",""Can't decide"",""10 bunnies""]","1 person vs 10 bunnies","10 bunnies","animal","0","1","0","",""
"","","","","","html-keyboard-response","30","2.0.0","124903","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","31","2.0.0","127015","p6nkoq3tkwd","p6nkoq3tkwd","You","2109","On one boat there is <b>100 people</b> and the other boat there is <b>1 pigeon</b>.
                 Will <b>You</b> save...","2","main_choice","13","pigeon","100","1","100 people","1 pigeon","true","B","A","1 pigeon","Can't decide","100 people","[""1 pigeon"",""Can't decide"",""100 people""]","100 people vs 1 pigeon","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","32","2.0.0","127517","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","33","2.0.0","129042","p6nkoq3tkwd","p6nkoq3tkwd","You","1522","On one boat there is <b>10 people</b> and the other boat there is <b>1 clam</b>.
                 Will <b>You</b> save...","0","main_choice","14","clam","10","1","10 people","1 clam","false","A","B","10 people","Can't decide","1 clam","[""10 people"",""Can't decide"",""1 clam""]","10 people vs 1 clam","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","34","2.0.0","129546","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","35","2.0.0","131131","p6nkoq3tkwd","p6nkoq3tkwd","You","1582","On one boat there is <b>100 people</b> and the other boat there is <b>10 pigs</b>.
                 Will <b>You</b> save...","0","main_choice","15","pig","100","10","100 people","10 pigs","false","A","B","100 people","Can't decide","10 pigs","[""100 people"",""Can't decide"",""10 pigs""]","100 people vs 10 pigs","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","36","2.0.0","131634","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","37","2.0.0","133508","p6nkoq3tkwd","p6nkoq3tkwd","You","1871","On one boat there is <b>10 people</b> and the other boat there is <b>1 dog</b>.
                 Will <b>You</b> save...","2","main_choice","16","dog","10","1","10 people","1 dog","true","B","A","1 dog","Can't decide","10 people","[""1 dog"",""Can't decide"",""10 people""]","10 people vs 1 dog","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","38","2.0.0","134011","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","39","2.0.0","139327","p6nkoq3tkwd","p6nkoq3tkwd","You","5311","On one boat there is <b>1 person</b> and the other boat there is <b>10 clams</b>.
                 Will <b>You</b> save...","2","main_choice","17","clam","1","10","1 person","10 clams","true","B","A","10 clams","Can't decide","1 person","[""10 clams"",""Can't decide"",""1 person""]","1 person vs 10 clams","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","40","2.0.0","139829","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","41","2.0.0","142325","p6nkoq3tkwd","p6nkoq3tkwd","You","2493","On one boat there is <b>100 people</b> and the other boat there is <b>10 cats</b>.
                 Will <b>You</b> save...","2","main_choice","18","cat","100","10","100 people","10 cats","true","B","A","10 cats","Can't decide","100 people","[""10 cats"",""Can't decide"",""100 people""]","100 people vs 10 cats","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","42","2.0.0","142827","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","43","2.0.0","144108","p6nkoq3tkwd","p6nkoq3tkwd","You","1278","On one boat there is <b>10 people</b> and the other boat there is <b>1 cat</b>.
                 Will <b>You</b> save...","0","main_choice","19","cat","10","1","10 people","1 cat","false","A","B","10 people","Can't decide","1 cat","[""10 people"",""Can't decide"",""1 cat""]","10 people vs 1 cat","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","44","2.0.0","144611","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","45","2.0.0","160925","p6nkoq3tkwd","p6nkoq3tkwd","You","16312","On one boat there is <b>10 people</b> and the other boat there is <b>100 bunnies</b>.
                 Will <b>You</b> save...","2","main_choice","20","bunny","10","100","10 people","100 bunnies","true","B","A","100 bunnies","Can't decide","10 people","[""100 bunnies"",""Can't decide"",""10 people""]","10 people vs 100 bunnies","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","46","2.0.0","161428","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","47","2.0.0","165939","p6nkoq3tkwd","p6nkoq3tkwd","You","4508","On one boat there is <b>10 people</b> and the other boat there is <b>100 cats</b>.
                 Will <b>You</b> save...","2","main_choice","21","cat","10","100","10 people","100 cats","false","A","B","10 people","Can't decide","100 cats","[""10 people"",""Can't decide"",""100 cats""]","10 people vs 100 cats","100 cats","animal","0","1","0","",""
"","","","","","html-keyboard-response","48","2.0.0","166442","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","49","2.0.0","168560","p6nkoq3tkwd","p6nkoq3tkwd","You","2116","On one boat there is <b>1 person</b> and the other boat there is <b>100 cats</b>.
                 Will <b>You</b> save...","2","main_choice","22","cat","1","100","1 person","100 cats","false","A","B","1 person","Can't decide","100 cats","[""1 person"",""Can't decide"",""100 cats""]","1 person vs 100 cats","100 cats","animal","0","1","0","",""
"","","","","","html-keyboard-response","50","2.0.0","169062","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","51","2.0.0","172505","p6nkoq3tkwd","p6nkoq3tkwd","You","3440","On one boat there is <b>1 person</b> and the other boat there is <b>100 clams</b>.
                 Will <b>You</b> save...","0","main_choice","23","clam","1","100","1 person","100 clams","false","A","B","1 person","Can't decide","100 clams","[""1 person"",""Can't decide"",""100 clams""]","1 person vs 100 clams","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","52","2.0.0","173007","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","53","2.0.0","174614","p6nkoq3tkwd","p6nkoq3tkwd","You","1604","On one boat there is <b>10 people</b> and the other boat there is <b>100 clams</b>.
                 Will <b>You</b> save...","2","main_choice","24","clam","10","100","10 people","100 clams","true","B","A","100 clams","Can't decide","10 people","[""100 clams"",""Can't decide"",""10 people""]","10 people vs 100 clams","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","54","2.0.0","175117","p6nkoq3tkwd","p6nkoq3tkwd","You","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
