"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","condition_name","participant","rt","stimulus","response","phase","trial_number","species_key","human_n","species_n","optionA_label","optionB_label","swap","left_is","right_is","left_label","middle_label","right_label","choice_options","comparison_label","chosen_option","choice_kind","saved_human","saved_animal","human_chosen","task","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","3832","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","8677","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","4844","Welcome to the experiment. Press any key to begin."," ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","2","2.0.0","12747","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","4066","","{""participant_id"":""rabbit""}","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","2.0.0","16428","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","2678","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","18684","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","2253","<p>You will be asked you some moral questions in which you have to make
                choices. These questions can be hard to decide. There is no right or wrong
                answer - choose whatever you personally think is right. Please
                carefully consider each question.</p>
                <p>Press any key to begin.</p>"," ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","23429","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","4744","
      <p>
        Imagine a situation involving two boats, one with humans and one with animals. Both of these boats are sinking.
        Unfortunately, the species on either of these boats are unable to swim. However, You can
        choose one boat to save. Once You chooses a boat, the people or animals on that boat will
        be safe, but the people or animals on the other boat will not survive.
      </p>

      <div style=""display: flex; justify-content: center; align-items: center; gap: 40px; margin-top: 30px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
        <img src=""stimuli/cant decide.png"" style=""width:150px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
      </div>
    "," ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","2.0.0","31734","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","8302","On one boat there is <b>100 people</b> and the other boat there is <b>10 clams</b>.
                 Will <b>You</b> save...","0","main_choice","0","clam","100","10","100 people","10 clams","false","A","B","100 people","Can't decide","10 clams","[""100 people"",""Can't decide"",""10 clams""]","100 people vs 10 clams","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","7","2.0.0","32237","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","8","2.0.0","34961","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","2722","On one boat there is <b>10 people</b> and the other boat there is <b>1 dog</b>.
                 Will <b>You</b> save...","2","main_choice","1","dog","10","1","10 people","1 dog","false","A","B","10 people","Can't decide","1 dog","[""10 people"",""Can't decide"",""1 dog""]","10 people vs 1 dog","1 dog","animal","0","1","0","",""
"","","","","","html-keyboard-response","9","2.0.0","35464","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","10","2.0.0","37246","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","1779","On one boat there is <b>1 person</b> and the other boat there is <b>10 bunnies</b>.
                 Will <b>You</b> save...","2","main_choice","2","bunny","1","10","1 person","10 bunnies","true","B","A","10 bunnies","Can't decide","1 person","[""10 bunnies"",""Can't decide"",""1 person""]","1 person vs 10 bunnies","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","11","2.0.0","37747","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","12","2.0.0","39579","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","1829","On one boat there is <b>10 people</b> and the other boat there is <b>1 clam</b>.
                 Will <b>You</b> save...","2","main_choice","3","clam","10","1","10 people","1 clam","true","B","A","1 clam","Can't decide","10 people","[""1 clam"",""Can't decide"",""10 people""]","10 people vs 1 clam","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","13","2.0.0","40081","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","14","2.0.0","42728","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","2645","On one boat there is <b>1 person</b> and the other boat there is <b>10 pigs</b>.
                 Will <b>You</b> save...","2","main_choice","4","pig","1","10","1 person","10 pigs","true","B","A","10 pigs","Can't decide","1 person","[""10 pigs"",""Can't decide"",""1 person""]","1 person vs 10 pigs","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","15","2.0.0","43230","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","16","2.0.0","45813","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","2581","On one boat there is <b>10 people</b> and the other boat there is <b>100 pigeons</b>.
                 Will <b>You</b> save...","2","main_choice","5","pigeon","10","100","10 people","100 pigeons","true","B","A","100 pigeons","Can't decide","10 people","[""100 pigeons"",""Can't decide"",""10 people""]","10 people vs 100 pigeons","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","17","2.0.0","46314","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","18","2.0.0","51295","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","4979","On one boat there is <b>1 person</b> and the other boat there is <b>100 clams</b>.
                 Will <b>You</b> save...","0","main_choice","6","clam","1","100","1 person","100 clams","true","B","A","100 clams","Can't decide","1 person","[""100 clams"",""Can't decide"",""1 person""]","1 person vs 100 clams","100 clams","animal","0","1","0","",""
"","","","","","html-keyboard-response","19","2.0.0","51796","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","20","2.0.0","53130","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","1331","On one boat there is <b>1 person</b> and the other boat there is <b>1 dog</b>.
                 Will <b>You</b> save...","2","main_choice","7","dog","1","1","1 person","1 dog","false","A","B","1 person","Can't decide","1 dog","[""1 person"",""Can't decide"",""1 dog""]","1 person vs 1 dog","1 dog","animal","0","1","0","",""
"","","","","","html-keyboard-response","21","2.0.0","53631","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","22","2.0.0","55929","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","2296","On one boat there is <b>1 person</b> and the other boat there is <b>100 pigs</b>.
                 Will <b>You</b> save...","2","main_choice","8","pig","1","100","1 person","100 pigs","false","A","B","1 person","Can't decide","100 pigs","[""1 person"",""Can't decide"",""100 pigs""]","1 person vs 100 pigs","100 pigs","animal","0","1","0","",""
"","","","","","html-keyboard-response","23","2.0.0","56431","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","24","2.0.0","57880","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","1447","On one boat there is <b>10 people</b> and the other boat there is <b>100 dogs</b>.
                 Will <b>You</b> save...","2","main_choice","9","dog","10","100","10 people","100 dogs","false","A","B","10 people","Can't decide","100 dogs","[""10 people"",""Can't decide"",""100 dogs""]","10 people vs 100 dogs","100 dogs","animal","0","1","0","",""
"","","","","","html-keyboard-response","25","2.0.0","58382","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","26","2.0.0","60479","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","2097","On one boat there is <b>1 person</b> and the other boat there is <b>1 pigeon</b>.
                 Will <b>You</b> save...","2","main_choice","10","pigeon","1","1","1 person","1 pigeon","true","B","A","1 pigeon","Can't decide","1 person","[""1 pigeon"",""Can't decide"",""1 person""]","1 person vs 1 pigeon","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","27","2.0.0","60981","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","28","2.0.0","62550","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","1567","On one boat there is <b>100 people</b> and the other boat there is <b>1 pigeon</b>.
                 Will <b>You</b> save...","2","main_choice","11","pigeon","100","1","100 people","1 pigeon","true","B","A","1 pigeon","Can't decide","100 people","[""1 pigeon"",""Can't decide"",""100 people""]","100 people vs 1 pigeon","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","29","2.0.0","63051","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","30","2.0.0","64896","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","1843","On one boat there is <b>100 people</b> and the other boat there is <b>1 cat</b>.
                 Will <b>You</b> save...","2","main_choice","12","cat","100","1","100 people","1 cat","false","A","B","100 people","Can't decide","1 cat","[""100 people"",""Can't decide"",""1 cat""]","100 people vs 1 cat","1 cat","animal","0","1","0","",""
"","","","","","html-keyboard-response","31","2.0.0","65397","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","32","2.0.0","66429","p8wcmls9wqb","p8wcmls9wqb","You","rabbit","1029","On one boat there is <b>10 people</b> and the other boat there is <b>1 pigeon</b>.
                 Will <b>You</b> save...","2","main_choice","13","pigeon","10","1","10 people","1 pigeon","true","B","A","1 pigeon","Can't decide","10 people","[""1 pigeon"",""Can't decide"",""10 people""]","10 people vs 1 pigeon","10 people","human","1","0","1","",""
